Subscriber_id,Subscription_duration,Monthly_subscription_fee,Subscription_plan,Payment_method,Total_revenue,Subscription_cancelled,Status,Revenue_lost
0731-EBJQB,52,20.40,One year,Electronic check,1090.65,No,Active,0
1891-QRQSA,64,111.60,Two year,Bank transfer (automatic),7099,No,Active,0
8028-PNXHQ,62,24.25,Two year,Bank transfer (automatic),1424.6,No,Active,0
5630-AHZIL,3,64.50,Month-to-month,Bank transfer (automatic),177.4,No,Active,0
2673-CXQEU,56,110.50,One year,Electronic check,6139.5,No,Active,0
6416-JNVRK,46,55.65,One year,Credit card (automatic),2688.85,No,Active,0
5590-ZSKRV,8,54.65,Month-to-month,Mailed check,482.25,No,Active,0
0191-ZHSKZ,30,74.75,Month-to-month,Electronic check,2111.3,No,Active,0
3887-PBQAO,45,25.90,One year,Credit card (automatic),1216.6,No,Active,0
5919-TMRGD,1,79.35,Month-to-month,Electronic check,79.35,Yes,Churned,79.35
8108-UXRQN,11,50.55,Month-to-month,Electronic check,565.35,No,Active,0
9191-MYQKX,7,75.15,Month-to-month,Bank transfer (automatic),496.9,Yes,Churned,75.15
9919-YLNNG,42,103.80,Month-to-month,Bank transfer (automatic),4327.5,No,Active,0
0318-ZOPWS,49,20.15,Two year,Bank transfer (automatic),973.35,No,Active,0
4445-ZJNMU,9,99.30,Month-to-month,Credit card (automatic),918.75,No,Active,0
4808-YNLEU,35,62.15,One year,Bank transfer (automatic),2215.45,No,Active,0
1862-QRWPE,48,20.65,Two year,Bank transfer (automatic),1057,No,Active,0
2796-NNUFI,46,19.95,Two year,Mailed check,927.1,No,Active,0
3016-KSVCP,29,33.75,Month-to-month,Mailed check,1009.25,No,Active,0
4767-HZZHQ,30,82.05,Month-to-month,Bank transfer (automatic),2570.2,No,Active,0
2424-WVHPL,1,74.70,Month-to-month,Electronic check,74.7,No,Active,0
7233-PAHHL,66,84.00,Two year,Mailed check,5714.25,No,Active,0
6067-NGCEU,65,111.05,Month-to-month,Credit card (automatic),7107,No,Active,0
9848-JQJTX,72,100.90,Two year,Bank transfer (automatic),7459.05,No,Active,0
8637-XJIVR,12,78.95,Month-to-month,Electronic check,927.35,Yes,Churned,78.95
9803-FTJCG,71,66.85,One year,Credit card (automatic),4748.7,No,Active,0
0278-YXOOG,5,21.05,Month-to-month,Mailed check,113.85,Yes,Churned,21.05
3212-KXOCR,52,21.00,Two year,Bank transfer (automatic),1107.2,No,Active,0
4598-XLKNJ,25,98.50,Month-to-month,Electronic check,2514.5,Yes,Churned,98.50
6380-ARCEH,1,20.20,Month-to-month,Mailed check,20.2,No,Active,0
3679-XASPY,1,19.45,Month-to-month,Electronic check,19.45,No,Active,0
7123-WQUHX,38,95.00,One year,Bank transfer (automatic),3605.6,No,Active,0
5386-THSLQ,66,45.55,One year,Bank transfer (automatic),3027.25,No,Active,0
3192-NQECA,68,110.00,Two year,Bank transfer (automatic),7611.85,Yes,Churned,110.00
6180-YBIQI,5,24.30,Month-to-month,Mailed check,100.2,No,Active,0
6728-DKUCO,72,104.15,One year,Electronic check,7303.05,No,Active,0
9750-BOOHV,32,30.15,One year,Mailed check,927.65,No,Active,0
8597-CWYHH,43,94.35,One year,Mailed check,3921.3,No,Active,0
2848-YXSMW,72,19.40,Two year,Credit card (automatic),1363.25,No,Active,0
0486-HECZI,55,96.75,Month-to-month,Electronic check,5238.9,Yes,Churned,96.75
4549-ZDQYY,52,57.95,One year,Credit card (automatic),3042.25,No,Active,0
5712-AHQNN,43,91.65,Month-to-month,Electronic check,3954.1,No,Active,0
4846-WHAFZ,37,76.50,Month-to-month,Electronic check,2868.15,Yes,Churned,76.50
5256-SKJGO,64,54.60,Two year,Electronic check,3423.5,No,Active,0
3071-VBYPO,3,89.85,Month-to-month,Electronic check,248.4,No,Active,0
9560-BBZXK,36,31.05,Two year,Bank transfer (automatic),1126.35,No,Active,0
5299-RULOA,10,100.25,Month-to-month,Electronic check,1064.65,Yes,Churned,100.25
8402-OOOHJ,41,20.65,Two year,Mailed check,835.15,No,Active,0
9445-ZUEQE,27,85.20,Month-to-month,Credit card (automatic),2151.6,No,Active,0
1091-SOZGA,56,99.80,One year,Credit card (automatic),5515.45,No,Active,0
2928-HLDBA,6,20.70,Month-to-month,Mailed check,112.75,No,Active,0
0404-SWRVG,3,74.40,Month-to-month,Electronic check,229.55,Yes,Churned,74.40
6497-TILVL,7,50.70,Month-to-month,Mailed check,350.35,No,Active,0
7219-TLZHO,4,20.85,Month-to-month,Mailed check,62.9,No,Active,0
4622-YNKIJ,33,88.95,Two year,Electronic check,3027.65,No,Active,0
4412-YLTKF,27,78.05,Month-to-month,Electronic check,2135.5,Yes,Churned,78.05
6734-PSBAW,72,23.55,Two year,Bank transfer (automatic),1723.95,No,Active,0
3930-ZGWVE,1,19.75,Month-to-month,Mailed check,19.75,No,Active,0
2639-UGMAZ,71,56.45,One year,Electronic check,3985.35,No,Active,0
2876-GZYZC,13,85.95,Month-to-month,Electronic check,1215.65,No,Active,0
6207-WIOLX,25,58.60,Month-to-month,Credit card (automatic),1502.65,Yes,Churned,58.60
8587-XYZSF,67,50.55,Two year,Bank transfer (automatic),3260.1,No,Active,0
3091-FYHKI,1,35.45,Month-to-month,Electronic check,35.45,Yes,Churned,35.45
2372-HWUHI,2,44.35,Month-to-month,Electronic check,81.25,Yes,Churned,44.35
7799-LGRDP,43,25.70,Two year,Credit card (automatic),1188.2,No,Active,0
7850-VWJUU,23,75.00,Month-to-month,Bank transfer (automatic),1778.5,No,Active,0
3774-VBNXY,64,20.20,Two year,Mailed check,1277.75,No,Active,0
6217-KDYWC,57,19.60,Two year,Mailed check,1170.55,No,Active,0
0390-DCFDQ,1,70.45,Month-to-month,Mailed check,70.45,Yes,Churned,70.45
3146-MSEGF,72,88.05,Two year,Credit card (automatic),6425.65,No,Active,0
4080-OGPJL,8,71.15,Month-to-month,Electronic check,563.65,Yes,Churned,71.15
1095-WGNGG,61,101.05,Two year,Bank transfer (automatic),5971.25,No,Active,0
2636-SJDOU,64,84.30,One year,Credit card (automatic),5289.05,No,Active,0
1131-QQZEB,71,23.95,Two year,Bank transfer (automatic),1756.2,No,Active,0
5716-EZXZN,65,99.05,Two year,Credit card (automatic),6416.7,No,Active,0
6837-BJYDQ,3,19.60,One year,Mailed check,61.35,No,Active,0
2135-RXIHG,1,45.65,Month-to-month,Electronic check,45.65,Yes,Churned,45.65
6440-DKQGE,30,64.50,One year,Credit card (automatic),1929.95,No,Active,0
3466-BYAVD,15,69.50,Month-to-month,Mailed check,1071.4,No,Active,0
3780-YVMFA,8,68.55,Month-to-month,Electronic check,564.35,No,Active,0
3874-EQOEP,7,95.00,Month-to-month,Mailed check,655.5,Yes,Churned,95.00
1679-JRFBR,70,108.15,One year,Credit card (automatic),7930.55,No,Active,0
9073-ZZIAY,62,86.10,Two year,Electronic check,5215.25,No,Active,0
3077-RSNTJ,6,19.70,Month-to-month,Mailed check,113.5,No,Active,0
6551-GNYDG,14,80.90,Month-to-month,Bank transfer (automatic),1152.8,No,Active,0
9167-APMXZ,22,84.15,Month-to-month,Bank transfer (automatic),1821.95,No,Active,0
2749-CTKAJ,22,20.15,One year,Mailed check,419.9,No,Active,0
6371-NZYEG,16,64.25,Two year,Mailed check,1024,No,Active,0
7554-NEWDD,10,25.70,Two year,Bank transfer (automatic),251.6,No,Active,0
8992-VONJD,13,56.00,Month-to-month,Electronic check,764.55,No,Active,0
0867-MKZVY,20,82.40,Month-to-month,Electronic check,1592.35,Yes,Churned,82.40
4482-EWFMI,2,69.70,Month-to-month,Electronic check,135.2,No,Active,0
4648-YPBTM,53,73.90,Two year,Bank transfer (automatic),3958.25,No,Active,0
2907-ILJBN,11,20.60,One year,Mailed check,233.9,No,Active,0
6345-FZOQH,69,19.90,Two year,Mailed check,1363.45,No,Active,0
3376-BMGFE,4,70.90,Month-to-month,Bank transfer (automatic),273,Yes,Churned,70.90
5997-OPVFA,72,89.05,Two year,Bank transfer (automatic),6254.45,No,Active,0
3445-HXXGF,58,45.30,Month-to-month,Electronic check,2651.2,Yes,Churned,45.30
1159-WFSGR,16,20.40,Month-to-month,Electronic check,321.4,No,Active,0
7654-YWJUF,43,84.25,One year,Bank transfer (automatic),3539.25,No,Active,0
1875-QIVME,2,104.40,Month-to-month,Electronic check,242.8,Yes,Churned,104.40
6727-IOTLZ,14,81.95,Two year,Mailed check,1181.75,No,Active,0
0691-JVSYA,53,94.85,One year,Bank transfer (automatic),5000.2,Yes,Churned,94.85
5918-VUKWP,32,20.55,One year,Bank transfer (automatic),654.55,No,Active,0
1744-JHKYS,34,24.70,Month-to-month,Electronic check,780.2,No,Active,0
2656-FMOKZ,15,74.45,Month-to-month,Mailed check,1145.7,Yes,Churned,74.45
2070-FNEXE,7,76.45,Month-to-month,Bank transfer (automatic),503.6,Yes,Churned,76.45
5947-SGKCL,15,105.35,Month-to-month,Bank transfer (automatic),1559.25,No,Active,0
3712-PKXZA,61,20.55,One year,Credit card (automatic),1252,No,Active,0
6317-YPKDH,1,29.95,Month-to-month,Bank transfer (automatic),29.95,Yes,Churned,29.95
6582-OIVSP,1,45.30,Month-to-month,Mailed check,45.3,No,Active,0
9367-WXLCH,8,84.50,Month-to-month,Bank transfer (automatic),662.65,Yes,Churned,84.50
5524-KHNJP,33,74.75,One year,Credit card (automatic),2453.3,No,Active,0
1918-ZBFQJ,13,79.25,Month-to-month,Electronic check,1111.65,Yes,Churned,79.25
1024-GUALD,1,24.80,Month-to-month,Electronic check,24.8,Yes,Churned,24.80
4827-USJHP,20,51.80,Month-to-month,Mailed check,1023.85,No,Active,0
8167-GJLRN,3,30.40,Month-to-month,Electronic check,82.15,No,Active,0
0956-SYCWG,13,19.65,One year,Electronic check,244.8,No,Active,0
8017-UVSZU,40,56.60,Month-to-month,Credit card (automatic),2379.1,No,Active,0
7100-FQPRV,43,71.90,One year,Credit card (automatic),3173.35,No,Active,0
2472-OVKUP,6,91.00,Month-to-month,Electronic check,531,Yes,Churned,91.00
2984-RGEYA,69,19.75,Two year,Bank transfer (automatic),1375.4,No,Active,0
9680-NIAUV,72,109.70,Two year,Credit card (automatic),8129.3,No,Active,0
2146-EGVDT,59,19.30,Two year,Credit card (automatic),1192.7,No,Active,0
2604-IJPDU,20,96.55,Month-to-month,Electronic check,1901.65,No,Active,0
9178-JHUVJ,24,24.10,Two year,Bank transfer (automatic),587.4,No,Active,0
6168-YBYNP,59,111.35,Month-to-month,Electronic check,6519.75,No,Active,0
7255-SSFBC,72,112.25,Two year,Bank transfer (automatic),8041.65,No,Active,0
3645-DEYGF,1,20.75,Month-to-month,Mailed check,20.75,No,Active,0
9323-HGFWY,27,101.90,One year,Credit card (automatic),2681.15,No,Active,0
8544-GOQSH,14,80.05,Month-to-month,Credit card (automatic),1112.3,No,Active,0
3363-DTIVD,71,105.55,Two year,Electronic check,7405.5,No,Active,0
7018-WBJNK,13,78.30,Month-to-month,Credit card (automatic),1033.95,No,Active,0
9142-KZXOP,44,68.85,Month-to-month,Credit card (automatic),2958.95,No,Active,0
7674-YTAFD,33,79.95,One year,Bank transfer (automatic),2684.85,No,Active,0
6348-SNFUS,72,55.45,Two year,Credit card (automatic),4179.2,No,Active,0
1285-OKIPP,1,79.90,Month-to-month,Electronic check,79.9,Yes,Churned,79.90
7825-ECJRF,19,106.60,Month-to-month,Electronic check,1934.45,Yes,Churned,106.60
1347-KTTTA,64,102.45,One year,Credit card (automatic),6654.1,No,Active,0
7841-TZDMQ,2,46.00,Month-to-month,Credit card (automatic),84.5,Yes,Churned,46.00
4195-NZGTA,1,25.25,Month-to-month,Electronic check,25.25,No,Active,0
7157-SMCFK,61,19.75,Two year,Mailed check,1124.2,No,Active,0
4709-LKHYG,29,20.00,One year,Electronic check,540.05,No,Active,0
2504-DSHIH,23,86.80,Month-to-month,Electronic check,1975.85,No,Active,0
0699-NDKJM,57,58.75,Month-to-month,Bank transfer (automatic),3437.45,No,Active,0
9286-BHDQG,72,45.25,Two year,Credit card (automatic),3139.8,No,Active,0
0230-WEQUW,66,56.60,Two year,Bank transfer (automatic),3789.2,No,Active,0
2040-LDIWQ,65,84.20,Two year,Bank transfer (automatic),5324.5,No,Active,0
6496-JDSSB,8,80.00,Month-to-month,Bank transfer (automatic),624.6,No,Active,0
9408-SSNVZ,4,70.15,Month-to-month,Electronic check,268.35,Yes,Churned,70.15
4443-EMBNA,71,24.75,Two year,Bank transfer (automatic),1836.9,No,Active,0
6469-MRVET,1,20.20,One year,Electronic check,20.2,No,Active,0
0742-MOABM,4,50.05,Month-to-month,Mailed check,179.35,Yes,Churned,50.05
5961-VUSRV,12,19.35,One year,Bank transfer (automatic),219.35,No,Active,0
6778-JFCMK,24,50.60,One year,Mailed check,1288.75,No,Active,0
6341-JVQGF,31,81.15,One year,Mailed check,2545.75,No,Active,0
2232-DMLXU,1,55.20,Month-to-month,Mailed check,55.2,Yes,Churned,55.20
4811-JBUVU,30,89.90,Month-to-month,Credit card (automatic),2723.15,No,Active,0
0945-TSONX,47,85.30,Two year,Credit card (automatic),4107.25,No,Active,0
2651-ZCBXV,54,108.00,Two year,Credit card (automatic),5760.65,No,Active,0
3316-UWXUY,50,93.50,Month-to-month,Credit card (automatic),4747.5,No,Active,0
8937-RDTHP,1,84.60,Month-to-month,Mailed check,84.6,Yes,Churned,84.60
7083-MIOPC,72,20.25,Two year,Credit card (automatic),1566.9,No,Active,0
1984-GPTEH,29,25.15,Month-to-month,Electronic check,702,No,Active,0
1251-KRREG,2,54.40,Month-to-month,Mailed check,114.1,Yes,Churned,54.40
0621-JFHOL,10,29.60,Two year,Mailed check,299.05,No,Active,0
9903-LYSAB,18,73.15,Month-to-month,Electronic check,1305.95,No,Active,0
0094-OIFMO,11,95.00,Month-to-month,Electronic check,1120.3,Yes,Churned,95.00
9227-UAQFT,16,19.75,Two year,Mailed check,284.35,No,Active,0
7301-ABVAD,72,86.60,Two year,Bank transfer (automatic),6350.5,No,Active,0
6614-FHDBO,72,109.20,Two year,Bank transfer (automatic),7878.3,No,Active,0
7576-ASEJU,41,74.70,One year,Credit card (automatic),3187.65,No,Active,0
9058-HRZSV,65,94.40,Month-to-month,Electronic check,6126.15,No,Active,0
4522-AKYLR,13,54.80,Month-to-month,Electronic check,731.3,No,Active,0
0221-WMXNQ,4,75.35,Month-to-month,Electronic check,273.4,No,Active,0
0303-UNCIP,41,65.00,One year,Mailed check,2531.8,No,Active,0
9947-OTFQU,15,74.40,Month-to-month,Electronic check,1074.3,Yes,Churned,74.40
0322-YINQP,1,48.55,Month-to-month,Mailed check,48.55,Yes,Churned,48.55
0959-WHOKV,42,99.00,One year,Electronic check,4298.45,No,Active,0
4075-JFPGR,51,93.50,One year,Electronic check,4619.55,No,Active,0
4629-NRXKX,2,70.40,Month-to-month,Electronic check,147.15,Yes,Churned,70.40
9514-JDSKI,1,40.20,Month-to-month,Electronic check,40.2,Yes,Churned,40.20
3282-ZISZV,32,83.70,One year,Credit card (automatic),2633.3,No,Active,0
3675-YDUPJ,10,19.85,Month-to-month,Mailed check,193.05,No,Active,0
4111-BNXIF,67,59.55,Two year,Electronic check,4103.9,No,Active,0
7017-VFHAY,61,115.10,Two year,Credit card (automatic),7008.15,No,Active,0
6655-LHBYW,50,114.35,One year,Credit card (automatic),5791.1,No,Active,0
4959-JOSRX,2,44.60,Month-to-month,Credit card (automatic),80.55,Yes,Churned,44.60
5046-NUHWD,29,45.00,Month-to-month,Electronic check,1228.65,No,Active,0
7273-TEFQD,3,41.15,Month-to-month,Electronic check,132.2,Yes,Churned,41.15
3606-TWKGI,13,106.90,Month-to-month,Electronic check,1364.3,Yes,Churned,106.90
7529-ZDFXI,57,89.85,Month-to-month,Electronic check,4925.35,No,Active,0
7605-BDWDC,31,49.85,Two year,Bank transfer (automatic),1520.1,No,Active,0
1950-KSVVJ,45,113.30,One year,Mailed check,5032.25,No,Active,0
0123-CRBRT,61,88.10,Two year,Mailed check,5526.75,No,Active,0
6292-TOSSS,50,24.90,Two year,Bank transfer (automatic),1195.25,No,Active,0
3197-ARFOY,19,105.00,Month-to-month,Mailed check,2007.25,No,Active,0
6323-AYBRX,59,19.35,Two year,Mailed check,1099.6,Yes,Churned,19.35
7014-ZZXAW,71,24.25,Two year,Credit card (automatic),1732.95,No,Active,0
4385-GZQXV,16,94.45,Month-to-month,Electronic check,1511.2,Yes,Churned,94.45
7633-MVPUY,57,59.75,Two year,Electronic check,3450.15,No,Active,0
6366-ZGQGL,1,24.80,Month-to-month,Bank transfer (automatic),24.8,Yes,Churned,24.80
4716-HHKQH,20,107.05,Month-to-month,Electronic check,2172.05,No,Active,0
5940-AHUHD,1,70.60,Month-to-month,Mailed check,70.6,Yes,Churned,70.60
6432-TWQLB,5,85.40,Month-to-month,Electronic check,401.1,Yes,Churned,85.40
4484-GLZOU,52,105.05,Month-to-month,Electronic check,5624.85,Yes,Churned,105.05
3179-GBRWV,21,64.95,Month-to-month,Bank transfer (automatic),1339.8,No,Active,0
8645-KWHJO,14,55.00,Month-to-month,Electronic check,771.95,No,Active,0
4130-MZLCC,5,50.55,Month-to-month,Bank transfer (automatic),244.75,No,Active,0
0314-TKOSI,6,55.15,Month-to-month,Mailed check,322.9,No,Active,0
8229-MYEJZ,10,51.20,Month-to-month,Electronic check,498.25,No,Active,0
2080-SRCDE,1,25.40,Month-to-month,Mailed check,25.4,No,Active,0
9577-WJVCQ,68,54.45,Month-to-month,Mailed check,3687.75,No,Active,0
9512-UIBFX,18,95.15,Month-to-month,Mailed check,1779.95,Yes,Churned,95.15
6202-DYYFX,22,76.00,One year,Credit card (automatic),1783.6,No,Active,0
3808-HFKDE,20,44.35,Month-to-month,Electronic check,927.15,No,Active,0
5583-SXDAG,1,70.00,Month-to-month,Electronic check,70,Yes,Churned,70.00
3488-PGMQJ,8,74.50,Month-to-month,Electronic check,606.55,Yes,Churned,74.50
3580-REOAC,10,44.85,Month-to-month,Credit card (automatic),435.4,Yes,Churned,44.85
7534-BFESC,24,76.10,Month-to-month,Electronic check,1712.7,Yes,Churned,76.10
3727-OWVYD,35,61.20,One year,Mailed check,2021.2,No,Active,0
2294-SALNE,23,86.80,One year,Mailed check,1940.8,No,Active,0
4847-TAJYI,6,89.35,Month-to-month,Electronic check,567.8,No,Active,0
1563-IWQEX,12,19.70,Month-to-month,Mailed check,220.35,No,Active,0
8203-XJZRC,1,20.25,Month-to-month,Mailed check,20.25,No,Active,0
6556-DBKZF,71,76.05,Two year,Electronic check,5436.45,No,Active,0
6851-WEFYX,35,100.80,Month-to-month,Electronic check,3437.5,No,Active,0
2985-JUUBZ,40,74.55,Month-to-month,Electronic check,3015.75,No,Active,0
6390-DSAZX,1,73.60,Month-to-month,Mailed check,73.6,Yes,Churned,73.60
0895-LMRSF,23,64.90,One year,Bank transfer (automatic),1509.8,No,Active,0
8098-LLAZX,4,95.45,Month-to-month,Electronic check,396.1,Yes,Churned,95.45
8266-VBFQL,4,90.40,Month-to-month,Electronic check,356.65,No,Active,0
8181-YHCMF,68,60.30,Two year,Credit card (automatic),4109,No,Active,0
2240-HSJQD,38,81.85,Month-to-month,Mailed check,3141.7,No,Active,0
1248-DYXUB,52,24.80,Two year,Mailed check,1229.1,No,Active,0
0265-EDXBD,32,74.90,Month-to-month,Electronic check,2303.35,Yes,Churned,74.90
4115-BNPJY,29,75.55,Two year,Mailed check,2054.4,No,Active,0
3167-SNQPL,38,101.15,Month-to-month,Electronic check,3741.85,No,Active,0
4091-TVOCN,48,78.75,One year,Credit card (automatic),3682.45,No,Active,0
1098-TDVUQ,1,19.25,Month-to-month,Bank transfer (automatic),19.25,No,Active,0
7277-OZCGZ,22,89.05,Month-to-month,Electronic check,1886.25,No,Active,0
1557-EMYVT,43,115.05,Two year,Credit card (automatic),4895.1,No,Active,0
2799-ARNLO,5,69.35,Month-to-month,Electronic check,341.6,No,Active,0
7563-BIUPC,5,80.60,Month-to-month,Electronic check,415.55,Yes,Churned,80.60
5027-YOCXN,51,110.05,One year,Credit card (automatic),5686.4,No,Active,0
3973-SKMLN,71,19.90,Two year,Credit card (automatic),1355.1,No,Active,0
2321-OMBXY,38,80.30,One year,Credit card (automatic),3058.65,Yes,Churned,80.30
2840-XANRC,24,93.15,Month-to-month,Electronic check,2231.05,Yes,Churned,93.15
6745-JEFZB,35,91.50,Month-to-month,Credit card (automatic),3236.35,No,Active,0
5020-ZSTTY,54,82.45,One year,Bank transfer (automatic),4350.1,Yes,Churned,82.45
9880-TDQAC,72,60.00,Two year,Electronic check,4264,No,Active,0
8705-WZCYL,1,44.80,Month-to-month,Electronic check,44.8,No,Active,0
7102-JJVTX,9,48.60,One year,Mailed check,422.3,No,Active,0
8626-PTQGE,69,60.05,Two year,Bank transfer (automatic),4176.7,No,Active,0
4983-CLMLV,52,102.70,Month-to-month,Credit card (automatic),5138.1,No,Active,0
5701-YVSVF,11,82.90,Month-to-month,Electronic check,880.05,No,Active,0
5804-LEPIM,2,70.35,Month-to-month,Electronic check,139.05,Yes,Churned,70.35
5697-GOMBF,28,35.90,Month-to-month,Electronic check,973.65,No,Active,0
2739-CACDQ,17,82.65,Month-to-month,Credit card (automatic),1470.05,No,Active,0
9385-EHGDO,35,19.85,Two year,Mailed check,739.35,No,Active,0
9498-FIMXL,8,19.20,One year,Mailed check,161.95,No,Active,0
2379-GYFLQ,46,94.90,One year,Credit card (automatic),4422.95,No,Active,0
0122-OAHPZ,7,73.85,Month-to-month,Electronic check,511.25,Yes,Churned,73.85
2868-SNELZ,2,80.60,Month-to-month,Mailed check,155.8,Yes,Churned,80.60
4322-RCYMT,68,75.80,One year,Bank transfer (automatic),5293.95,Yes,Churned,75.80
6680-NENYN,43,104.60,Two year,Electronic check,4759.85,Yes,Churned,104.60
